Date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2023-05-14 13:00:00,27300.0,27499.8,27261.2,27493.9,3750.398,102713910.1865,1848,1790.061,49212542.1907
2023-05-14 14:00:00,27290.0,27493.9,27254.0,27493.8,4750.359,130165390.1611,1727,2687.067,73829504.7352
2023-05-14 15:00:00,27493.8,27493.8,27320.0,27351.2,4128.154,113158949.8265,1973,2126.336,58413061.211
2023-05-14 16:00:00,27470.0,27576.7,27350.1,27469.8,6146.804,168968648.6437,3558,3973.189,109491367.9959
2023-05-14 17:00:00,27519.8,27576.7,27352.2,27460.0,4385.685,120531638.4364,2442,2175.025,59953038.2223
2023-05-14 18:00:00,27460.0,27575.0,27369.7,27570.0,4478.45,123101506.9146,1789,2284.174,62975863.3628
2023-05-14 19:00:00,27463.2,27575.0,27369.7,27402.0,4133.248,113605829.2179,1734,2084.016,57458897.6917
2023-05-14 20:00:00,27452.0,27569.8,27390.0,27432.4,3811.643,104748903.4241,1709,1892.787,52158293.7999
2023-05-14 21:00:00,27515.0,27565.0,27391.0,27400.3,3828.679,105219263.2951,1436,1831.718,50457720.1629
2023-05-14 22:00:00,27400.3,27575.0,27400.3,27574.9,3606.552,99128017.0377,1343,1822.228,50216624.7094
2023-05-14 23:00:00,27420.0,27576.7,27389.0,27425.1,3951.023,108639478.9246,1282,1985.509,54746051.347
2023-05-15 00:00:00,27459.9,27576.4,27425.0,27425.1,4519.363,124305417.9088,1152,2436.653,67181970.0842
2023-05-15 01:00:00,27425.1,27576.7,27425.1,27576.6,3843.057,105676321.4677,1135,1890.311,52114679.1206
2023-05-15 02:00:00,27451.1,27576.6,27436.1,27576.6,4013.4,110404208.6592,1511,2073.012,57163169.6217
2023-05-15 03:00:00,27436.1,27576.6,27436.1,27576.3,4755.099,130753269.3526,1191,2072.541,57151330.5318
2023-05-15 04:00:00,27442.1,27576.3,27334.8,27367.8,4604.979,126489586.6795,2231,2084.421,57423747.4486
2023-05-15 05:00:00,27383.8,27576.3,27267.0,27400.0,3885.594,106605588.1109,3911,1953.413,53803759.9324
2023-05-15 06:00:00,27329.8,27576.7,27291.1,27423.5,5438.884,149444919.5063,4306,2752.506,75851431.2187
2023-05-15 07:00:00,27472.5,27576.7,27333.0,27360.0,3616.466,99335821.0581,2189,1847.636,50889884.6821
2023-05-15 08:00:00,27389.5,28099.9,27360.0,27666.1,6610.46,182893010.2733,2483,3556.378,98602430.5527
2023-05-15 09:00:00,27666.1,27886.7,27616.0,27625.1,6001.577,166608137.123,4974,3142.319,87521286.7553
2023-05-15 10:00:00,27648.9,27877.0,27620.0,27868.0,3946.904,109496154.4412,4408,1894.454,52757112.3067
2023-05-15 11:00:00,27777.0,27870.0,27665.0,27802.8,4293.62,119258631.347,4043,2169.146,60400967.9498
2023-05-15 12:00:00,27802.8,27880.0,27635.6,27724.7,4436.715,123075102.2664,6967,2321.126,64498759.0817
2023-05-15 13:00:00,27752.2,27899.9,27681.1,27710.1,4607.585,127970753.0892,5657,2280.769,63505846.798
2023-05-15 14:00:00,27749.1,27900.0,27710.1,27899.9,4095.071,113918035.759,3243,2038.023,56844771.466
2023-05-15 15:00:00,27817.0,28100.0,27817.0,27955.1,5309.395,148566765.563,2762,3015.503,84526472.1516
